Product_itemcode	product_Name	Material_itemcode	Material_name
PFT0129	Du 58 korpus	C0011	rich abs drobilka
PFTS0036	50-13 Plafon korpus	C0213	Pet list otxod
PFTS0036	50-13 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFT0098	Knopka 102	C0017	rich abs
PFT0098	Knopka 102	C0014	rish abs otxod
PFT0076	Ramka 46	C0068	songru abs
PFTS0209	50-65 cheti COFFEE Rom	C0261	palistrol qozon
PFTS0209	50-65 cheti COFFEE Rom	C0061	palistrol otxod
PFTS0100	40-39 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFTS0100	40-39 Plafon korpus	C0213	Pet list otxod
PFTS0059	50-50 Plafon korpus	C0213	Pet list otxod
PFTS0059	50-50 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFTS0112	40-01 COFFEE Rom	C0061	palistrol otxod
PFTS0112	40-01 COFFEE Rom	C0261	palistrol qozon
PFTS0112	40-01 COFFEE Rom	PZ0030	PZ-COFFEE rang
PFTS0237	50-67 coffee kichik	C0261	palistrol qozon
PFTS0237	50-67 coffee kichik	PZ0030	PZ-COFFEE rang
PFT0191	Vnut 8 Ramka Platinum	C0186	Rastvaritel
PFT0191	Vnut 8 Ramka Platinum	C0177	Platinum  rang
PFT0191	Vnut 8 Ramka Platinum	C0179	Plastafleks
PFT0191	Vnut 8 Ramka Platinum	PFT0017	Vnut 8 Ramka
PFT0094	Ichi 87	C0014	rish abs otxod
PFT0094	Ichi 87	C0017	rich abs
PFTS0035	50-11 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFTS0035	50-11 Plafon korpus	C0213	Pet list otxod
PFTS0196	50-61 BLUE Rom	C0261	palistrol qozon
PFTS0196	50-61 BLUE Rom	C0061	palistrol otxod
PFTS0208	50-65 o'rtasi BLACK Rom	C0064	palistrol
PFT0116	Tosh plast 81	C0074	PC otxod
PFT0116	Tosh plast 81	C0271	kul rang
PFT0116	Tosh plast 81	C0071	PC
PFTS0185	50-05 WHITE Rom	C0061	palistrol otxod
PFTS0185	50-05 WHITE Rom	C0064	palistrol
PFTS0161	40-37 Coffe Rom	PZ0028	PZ-To'q COFFEE rang
PFTS0161	40-37 Coffe Rom	C0261	palistrol qozon
PFTS0161	40-37 Coffe Rom	C0061	palistrol otxod
PFTS0016	20w-korpus	C0149	PBT
PFTS0016	20w-korpus	LZ0017	AL-KORPUS-20
PFTS0016	20w-korpus	C0150	PBT otxod
PFTS0060	50-60 Plafon korpus	C0182	PVC otxod
PFT0212	Nar 12 Tagi qora	C0266	Qora abs ( Nar Patron)
PFTS0037	50-14 Plafon korpus	PFTS0022	Pet list 465-470 Boyalgan
PFTS0037	50-14 Plafon korpus	C0213	Pet list otxod
PFT0075	Knopka 21	C0056	songru abs otxod
PFT0075	Knopka 21	C0068	songru abs
PFTS0060	50-60 Plafon korpus	PFTS0021	Pet list 475-480 Boyalgan
PFT0067	Tarelka 17	C0044	songru abs drobilka
PFTS0227	50-09 COFFEE Rom	C0261	palistrol qozon
PFTS0227	50-09 COFFEE Rom	PZ0028	PZ-To'q COFFEE rang
PFTS0227	50-09 COFFEE Rom	C0061	palistrol otxod
PFT0013	P\L RAMKA 50 Dumaloq 72 W	C0061	palistrol otxod
PFT0013	P\L RAMKA 50 Dumaloq 72 W	C0064	palistrol
PFT0067	Tarelka 17	C0056	songru abs otxod
PFT0113	Tosh plast 23	C0042	songru tosh abs otxod
PFT0113	Tosh plast 23	C0045	songru tosh abs
PFT0113	Tosh plast 23	C0039	songru tosh abs drobilka
PFTS0062	50-62 Plafon korpus	PFTS0021	Pet list 475-480 Boyalgan
PFTS0062	50-62 Plafon korpus	C0182	PVC otxod
PFT0046	PARRAK-100 Gold	C0186	Rastvaritel
PFT0046	PARRAK-100 Gold	C0175	Gold rang
PFT0046	PARRAK-100 Gold	PFT0048	PARRAK-100
PFT0048	PARRAK-100	C0014	rich abs otxod
PFT0048	PARRAK-100	C0017	rich abs
PFTS0192	50-60 WHITE Rom	C0064	palistrol
PFTS0192	50-60 WHITE Rom	C0061	palistrol otxod
PFT0187	RICH Ramka 3	C0014	rich abs otxod
PFT0187	RICH Ramka 3	C0017	rich abs
PFTS0187	50-05 COFFEE Rom	C0261	palistrol qozon
PFTS0187	50-05 COFFEE Rom	C0061	palistrol otxod
PFTS0187	50-05 COFFEE Rom	PZ0030	PZ-COFFEE rang
PFTS0008	40w-qopqoq	C0160	PPT
PFTS0008	40w-qopqoq	C0232	PP lampa
PFTS0008	40w-qopqoq	C0233	PP lampa otxod
PFT0117	PARRAK-150	C0017	rich abs
PFT0117	PARRAK-150	C0014	rish abs otxod
PFT0029	Vnut 16 Oyna	C0064	palistrol
PFT0029	Vnut 16 Oyna	C0048	Qora rang
PFT0029	Vnut 16 Oyna	C0217	Stretch plafon
PFT0029	Vnut 16 Oyna	C0061	palistrol otxod
PFTS0126	40-05 COFFEE Rom	PZ0030	PZ-COFFEE rang
PFTS0126	40-05 COFFEE Rom	C0061	palistrol otxod
PFTS0126	40-05 COFFEE Rom	C0261	palistrol qozon
PFTS0092	40-31 Plafon korpus	PFTS0023	Pet list 365-370 Boyalgan
PFTS0092	40-31 Plafon korpus	C0213	Pet list otxod
PFT0139	Akril Panel 10 dumaloq	C0060	PP otxod
PFT0139	Akril Panel 10 dumaloq	C0040	W rang
